spotify_id,name,artists,daily_rank,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
6EIMUjQ7Q8Zr2VtIUik4He,drunk text,Henry Moodie,1,ID,4/14/2024,84,FALSE,187263,in all of my lonely nights,1/26/2024,0.614,0.493,0,-5.356,1,0.0314,0.0676,0,0.113,0.176,94.784,3
3qhlB30KknSejmIvZZLjOD,End of Beginning,Djo,2,ID,4/14/2024,99,FALSE,159245,DECIDE,9/16/2022,0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,4
51ZQ1vr10ffzbwIjDCwqm4,we can't be friends (wait for your love),Ariana Grande,3,ID,4/14/2024,95,FALSE,228639,eternal sunshine,3/8/2024,0.645,0.663,5,-8.305,1,0.0447,0.0657,0.0000318,0.0751,0.287,115.83,4
7F4tV8SiUy6itZTdAzdafO,penjaga hati,Nadhif Basalamah,4,ID,4/14/2024,83,FALSE,260346,penjaga hati,6/21/2023,0.509,0.359,2,-8.993,1,0.0279,0.879,0.0289,0.19,0.329,155.799,4
2lMQOAKPam2JVEfNsZtWDe,Tak Dianggap,Lyodra,5,ID,4/14/2024,83,FALSE,179841,Tak Dianggap,8/17/2023,0.614,0.438,2,-5.737,1,0.0433,0.802,0,0.213,0.302,126,4
6XKEElbr3cWmnUw6a5HRBV,Mati-Matian,Mahalini,6,ID,4/14/2024,74,FALSE,244137,Mati-Matian,3/29/2024,0.44,0.389,5,-6.412,1,0.0368,0.795,0.0000191,0.149,0.176,116.839,4
3FwQ3RYYEekzjEeL3jdpUZ,Pesan Terakhir,Lyodra,7,ID,4/14/2024,80,FALSE,261299,Lyodra,7/16/2021,0.522,0.357,2,-8.579,1,0.0299,0.432,0.00000331,0.094,0.14,120.049,4
6L1jkVbb331DNvK89C3L8u,Masih Hatiku,"Arsy Widianto, Tiara Andini",8,ID,4/14/2024,77,FALSE,262341,Masih Hatiku,2/22/2024,0.596,0.466,9,-8.341,1,0.0309,0.817,0.00000159,0.145,0.355,136.191,4
7CyPwkp0oE8Ro9Dd5CUDjW,"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",9,ID,4/14/2024,92,FALSE,244684,The Idol Episode 4 (Music from the HBO Original Series),6/23/2023,0.522,0.641,8,-6.287,1,0.0318,0.0545,0,0.162,0.202,87.51,4
2sD709AK9zRN6SKUmDhGEa,"Dia Masa Lalumu, Aku Masa Depanmu",Vionita,10,ID,4/14/2024,80,FALSE,242000,"Dia Masa Lalumu, Aku Masa Depanmu",3/5/2021,0.48,0.418,7,-6.168,1,0.0313,0.609,0.000016,0.148,0.207,125.513,4
4SW9fIXaX6OxJhm9gspkDG,Tapi Tahukah Kamu?,"Dygta, Kamasean",11,ID,4/14/2024,80,FALSE,251600,Tapi Tahukah Kamu?,9/1/2023,0.5,0.467,1,-7.514,1,0.026,0.734,0.00031,0.104,0.287,143.974,4
26cvTWJq2E1QqN4jyH2OTU,Tak Segampang Itu,Anggi Marito,12,ID,4/14/2024,80,FALSE,231100,Tak Segampang Itu,12/2/2022,0.506,0.438,5,-7.069,1,0.0268,0.759,0.00000864,0.109,0.178,129.538,4
2o1pb13quMReXZqE7jWsgq,intro (end of the world),Ariana Grande,13,ID,4/14/2024,90,TRUE,92400,eternal sunshine,3/8/2024,0.501,0.373,10,-9.488,1,0.0493,0.671,0,0.177,0.38,84.682,4
1njlnn8ZKHI77Pe9szIONR,SHEESH,BABYMONSTER,14,ID,4/14/2024,84,FALSE,170356,BABYMONS7ER,4/1/2024,0.774,0.728,2,-5.079,1,0.169,0.113,0,0.0473,0.461,140.041,4
1aKvZDoLGkNMxoRYgkckZG,Magnetic,ILLIT,15,ID,4/14/2024,91,FALSE,160688,SUPER REAL ME,3/25/2024,0.797,0.668,6,-5.819,1,0.0687,0.257,0,0.0876,0.69,131.067,4
5MIpcd16T59wFeqAChSYwC,Duka,Last Child,16,ID,4/14/2024,78,FALSE,325147,Duka,9/25/2016,0.566,0.885,0,-4.664,1,0.0355,0.122,0.00000375,0.049,0.31,135.015,4
6Hii26x3qDErVitnGW8QtO,Runtuh,"Feby Putri, Fiersa Besari",17,ID,4/14/2024,78,FALSE,223973,Runtuh,10/1/2021,0.593,0.287,3,-13.164,1,0.0289,0.876,0.000136,0.119,0.191,127.783,4
3vkCueOmm7xQDoJ17W1Pm3,My Love Mine All Mine,Mitski,18,ID,4/14/2024,94,FALSE,137773,The Land Is Inhospitable and So Are We,9/15/2023,0.504,0.308,9,-14.958,1,0.0321,0.868,0.135,0.158,0.121,113.95,4
7wlfGt5NkpPT6nRC6yCr7u,Bercinta Lewat Kata - OST Jatuh Cinta Seperti di Film-Film,Donne Maula,19,ID,4/14/2024,78,FALSE,169000,Bercinta Lewat Kata (OST Jatuh Cinta Seperti di Film-Film),7/26/2023,0.598,0.3,5,-11.778,1,0.072,0.919,0.00186,0.103,0.374,119.831,3
5UHnOvi0XFvwY8ege9DNdD,Karena Kamu,Geisha,20,ID,4/14/2024,79,FALSE,234546,Meraih Bintang,1/3/2011,0.605,0.708,0,-5.952,1,0.0294,0.174,0,0.112,0.709,124.04,4
6mQLN3zRtAp6ovjusyYKrV,Rewrite The Stars (with James Arthur & Anne-Marie),"James Arthur, Anne-Marie",21,ID,4/14/2024,80,FALSE,218293,Rewrite The Stars (with James Arthur & Anne-Marie),10/25/2018,0.67,0.743,10,-4.993,1,0.0393,0.237,0,0.465,0.571,125.944,4
1uy2DsaTtdBO9jBo7KBLWE,Ku Ingin Pisah,Nabila Taqiyyah,22,ID,4/14/2024,78,FALSE,235335,Ku Ingin Pisah,11/23/2023,0.513,0.361,7,-6.082,1,0.0268,0.847,0,0.22,0.204,79.153,4
1bjeWoagtHmUKputLVyDxQ,Saturn,SZA,23,ID,4/14/2024,93,FALSE,186191,Saturn,2/22/2024,0.411,0.619,1,-6.834,1,0.0368,0.62,0,0.11,0.337,177.937,4
